Date,Close,High,Low,Open,Volume,sentiment_score,Sentiment_MA7,Sentiment_Momentum,Return_1D,Volatility_10D,Return,Target
2015-01-05,23721.3203125,23998.869140625,23655.51953125,23699.189453125,2585200000.0,-0.4456182243302464,-0.4309765414024393,-0.014641682927807098,8.233633634890936e-07,4.7536905955130386e-07,8.233633634890936e-07,0
2015-01-06,23485.41015625,23611.0,23312.5,23515.130859375,2618000000.0,0.0,-0.32323240605182946,0.32323240605182946,-0.009945068535063273,0.004972671509906728,-0.009945068535063273,1
2015-01-07,23681.259765625,23715.7109375,23332.029296875,23396.69921875,2181100000.0,0.3122109398245811,-0.19614373687654735,0.5083546767011284,0.008339203278631357,0.006479418729169844,0.008339203278631357,1
2015-01-08,23835.529296875,23941.640625,23719.05078125,23920.349609375,2011600000.0,0.3122109398245811,-0.11141795742635925,0.42362889725094033,0.0065144140462465305,0.006432220477827276,0.0065144140462465305,1
2015-01-09,23919.94921875,24169.060546875,23859.490234375,24049.69921875,2334800000.0,0.0,-0.0955011063654508,0.0955011063654508,0.0035417682915086512,0.0059613379716870135,0.0035417682915086512,1
2015-01-12,24026.4609375,24118.58984375,23905.009765625,24118.58984375,1414600000.0,0.5120114050805569,-0.02235661992537124,0.5343680250059281,0.00445284050463246,0.005637148610286502,0.00445284050463246,1
2015-01-13,24215.970703125,24254.109375,23908.23046875,23908.23046875,1393200000.0,0.0,0.09868786577135324,-0.09868786577135324,0.007887543909107952,0.0056727154601825406,0.007887543909107952,0
2015-01-14,24112.599609375,24326.69921875,24056.220703125,24276.330078125,1463000000.0,0.2642821436747908,0.20010220405778714,0.06417993961700366,-0.004268715676000512,0.005738671563625589,-0.004268715676000512,1
2015-01-15,24350.91015625,24369.0,24070.390625,24169.349609375,1754000000.0,0.0,0.20010220405778714,-0.20010220405778714,0.009883237425065694,0.006250706061637146,0.009883237425065694,0
2015-01-16,24103.51953125,24253.08984375,24086.2109375,24196.849609375,1716800000.0,0.5120114050805569,0.22864512766578368,0.28336627741477316,-0.010159399521931345,0.007440041148770125,-0.010159399521931345,0
2015-01-19,23738.490234375,24049.55078125,23590.05078125,23971.23046875,2945800000.0,0.0,0.18404356483370066,-0.18404356483370066,-0.015144232210642206,0.009151864916185137,-0.015144232210642206,1
2015-01-20,23951.16015625,23997.310546875,23747.919921875,23798.4609375,1632700000.0,-0.3496165126562118,0.1340983487399561,-0.48371486139616793,0.00895886468664453,0.008789297783250802,0.00895886468664453,1
2015-01-21,24352.580078125,24373.279296875,24016.630859375,24036.41015625,1843500000.0,0.1245167516171932,0.0787419696737613,0.04577478194343189,0.016759936439665557,0.009808362905881336,0.016759936439665557,1
2015-01-22,24522.630859375,24589.619140625,24438.98046875,24480.01953125,1679800000.0,-0.9077893309295176,-0.05094222045902693,-0.8568471104704907,0.006982865088810408,0.009828945087831886,0.006982865088810408,1
2015-01-23,24850.44921875,24896.220703125,24726.76953125,24807.359375,2375600000.0,0.0165528822690248,-0.08633211494556492,0.10288499721458971,0.013367993069539397,0.010377282451009863,0.013367993069539397,1
2015-01-26,24909.900390625,24916.490234375,24761.55078125,24907.189453125,1321600000.0,0.0,-0.08633211494556492,0.08633211494556492,0.002392358035529618,0.01038492342155268,0.002392358035529618,0
2015-01-27,24807.279296875,24995.080078125,24672.759765625,24995.080078125,1705100000.0,0.5120114050805569,-0.08633211494556492,0.5983435200261218,-0.004119691052181906,0.01053564835809253,-0.004119691052181906,1
2015-01-28,24861.810546875,24983.890625,24716.6796875,24799.98046875,1361000000.0,0.318264078348875,-0.04086581803858278,0.3591298963874578,0.0021981955113823393,0.010271540947051173,0.0021981955113823393,0
2015-01-29,24595.849609375,24739.220703125,24524.1796875,24645.19921875,1864000000.0,0.0,0.009079398055161765,-0.009079398055161765,-0.010697569149219932,0.010811717354760327,-0.010697569149219932,0
2015-01-30,24507.05078125,24771.369140625,24450.05078125,24771.369140625,1438900000.0,-0.8473113998770714,-0.12975319501544746,-0.7175582048616239,-0.003610317575334032,0.010240260744853479,-0.003610317575334032,0
2015-02-02,24484.740234375,24506.810546875,24324.369140625,24347.26953125,1576200000.0,0.1245167516171932,0.017719102491225512,0.10679764912596768,-0.0009103725729441292,0.008474408590004591,-0.0009103725729441292,1
2015-02-03,24554.779296875,24602.599609375,24327.509765625,24542.490234375,1552800000.0,-0.9077893309295176,-0.11432978510856627,-0.7934595458209514,0.0028605189121699848,0.008224256371777792,0.0028605189121699848,1
2015-02-04,24679.759765625,24824.580078125,24642.5,24750.759765625,1836300000.0,0.1705440394580364,-0.08996635090027535,0.26051039035831175,0.005089863249795323,0.0066584174317174845,0.005089863249795323,1
2015-02-05,24765.490234375,25048.259765625,24642.810546875,25048.259765625,2343800000.0,0.5120114050805569,-0.08996635090027537,0.6019777559808323,0.0034737156910826794,0.006416974707088155,0.0034737156910826794,0
2015-02-06,24679.390625,24843.19921875,24645.759765625,24843.19921875,1440500000.0,-0.3613973241299391,-0.18706083696867734,-0.17433648716126174,-0.003476596205452487,0.0048240979879390095,-0.003476596205452487,0
2015-02-09,24521.0,24657.869140625,24449.48046875,24529.55078125,1285500000.0,-0.8697770647704601,-0.3113147033644574,-0.5584623614060027,-0.006417930953268813,0.005001886597821124,-0.006417930953268813,1
2015-02-10,24528.099609375,24583.7890625,24422.849609375,24475.0390625,1028000000.0,0.0,-0.1902702176677329,0.1902702176677329,0.00028953180437185644,0.0049452944150320515,0.00028953180437185644,0
2015-02-11,24315.01953125,24551.740234375,24266.6796875,24512.619140625,1261400000.0,-0.8775503654032946,-0.333422662956374,-0.5441277024469205,-0.00868718251794598,0.0053177274092390415,-0.00868718251794598,1
2015-02-12,24422.150390625,24514.490234375,24226.2890625,24377.58984375,1472100000.0,0.0,-0.20373847282358576,0.20373847282358576,0.004405954074489404,0.004753748639844871,0.004405954074489404,1
2015-02-13,24682.5390625,24702.5390625,24521.130859375,24535.66015625,1342700000.0,0.412111172452569,-0.1692288823957954,0.5813400548483644,0.010661987896649627,0.005807935515877467,0.010661987896649627,1
2015-02-16,24726.529296875,24771.599609375,24687.150390625,24717.490234375,926600000.0,0.0,-0.24237336883587496,0.24237336883587496,0.001782241051603739,0.005785864643509408,0.001782241051603739,1
2015-02-17,24784.880859375,24855.75,24653.880859375,24653.880859375,822900000.0,0.1705440394580364,-0.1663817454661642,0.33692578492420056,0.002359876786564463,0.00577010441901798,0.002359876786564463,1
