Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2015-01-02,23721.30078125,23998.900390625,23655.5,23699.19921875,1801700000
2015-01-05,23721.3203125,23998.869140625,23655.51953125,23699.189453125,2585200000
2015-01-06,23485.41015625,23611.0,23312.5,23515.130859375,2618000000
2015-01-07,23681.259765625,23715.7109375,23332.029296875,23396.69921875,2181100000
2015-01-08,23835.529296875,23941.640625,23719.05078125,23920.349609375,2011600000
2015-01-09,23919.94921875,24169.060546875,23859.490234375,24049.69921875,2334800000
2015-01-12,24026.4609375,24118.58984375,23905.009765625,24118.58984375,1414600000
2015-01-13,24215.970703125,24254.109375,23908.23046875,23908.23046875,1393200000
2015-01-14,24112.599609375,24326.69921875,24056.220703125,24276.330078125,1463000000
2015-01-15,24350.91015625,24369.0,24070.390625,24169.349609375,1754000000
2015-01-16,24103.51953125,24253.08984375,24086.2109375,24196.849609375,1716800000
2015-01-19,23738.490234375,24049.55078125,23590.05078125,23971.23046875,2945800000
2015-01-20,23951.16015625,23997.310546875,23747.919921875,23798.4609375,1632700000
2015-01-21,24352.580078125,24373.279296875,24016.630859375,24036.41015625,1843500000
2015-01-22,24522.630859375,24589.619140625,24438.98046875,24480.01953125,1679800000
2015-01-23,24850.44921875,24896.220703125,24726.76953125,24807.359375,2375600000
2015-01-26,24909.900390625,24916.490234375,24761.55078125,24907.189453125,1321600000
2015-01-27,24807.279296875,24995.080078125,24672.759765625,24995.080078125,1705100000
2015-01-28,24861.810546875,24983.890625,24716.6796875,24799.98046875,1361000000
2015-01-29,24595.849609375,24739.220703125,24524.1796875,24645.19921875,1864000000
2015-01-30,24507.05078125,24771.369140625,24450.05078125,24771.369140625,1438900000
2015-02-02,24484.740234375,24506.810546875,24324.369140625,24347.26953125,1576200000
2015-02-03,24554.779296875,24602.599609375,24327.509765625,24542.490234375,1552800000
2015-02-04,24679.759765625,24824.580078125,24642.5,24750.759765625,1836300000
2015-02-05,24765.490234375,25048.259765625,24642.810546875,25048.259765625,2343800000
2015-02-06,24679.390625,24843.19921875,24645.759765625,24843.19921875,1440500000
2015-02-09,24521.0,24657.869140625,24449.48046875,24529.55078125,1285500000
2015-02-10,24528.099609375,24583.7890625,24422.849609375,24475.0390625,1028000000
2015-02-11,24315.01953125,24551.740234375,24266.6796875,24512.619140625,1261400000
2015-02-12,24422.150390625,24514.490234375,24226.2890625,24377.58984375,1472100000
2015-02-13,24682.5390625,24702.5390625,24521.130859375,24535.66015625,1342700000
2015-02-16,24726.529296875,24771.599609375,24687.150390625,24717.490234375,926600000
2015-02-17,24784.880859375,24855.75,24653.880859375,24653.880859375,822900000
2015-02-18,24832.080078125,24871.7890625,24806.060546875,24836.05078125,975900000
2015-02-23,24836.759765625,24916.240234375,24664.6796875,24916.240234375,1019300000
2015-02-24,24750.0703125,24808.30078125,24673.9296875,24776.720703125,1076300000
2015-02-25,24778.279296875,24869.369140625,24691.779296875,24822.279296875,1387700000
2015-02-26,24902.060546875,24998.640625,24709.560546875,24718.279296875,1803500000
2015-02-27,24823.2890625,25101.9609375,24815.029296875,24902.609375,1504200000
2015-03-02,24887.439453125,24997.830078125,24715.380859375,24996.759765625,1543100000
2015-03-03,24702.779296875,24984.619140625,24663.4296875,24984.619140625,1499900000
2015-03-04,24465.380859375,24705.9609375,24439.2890625,24656.939453125,1618200000
2015-03-05,24193.0390625,24393.849609375,24133.7109375,24274.900390625,1923400000
