date,title,url,source,symbol,summary,text,id
2025-03-14 15:27:30+00:00,"Stocks to watch this week: Tencent, Micron, Nike, Prudential and JD Wetherspoon",https://finance.yahoo.com/news/tencent-micron-nike-prudential-jd-wetherspoon-stocks-to-watch-152730798.html,Yahoo Finance UK,0941.HK,Earnings preview of key companies reporting this week and what to look out for,Earnings preview of key companies reporting this week and what to look out for,75993220-cafa-40e9-ba9e-e28fb29e84eb
2025-04-11 13:11:11+00:00,"Stocks to watch this week: Goldman Sachs, TSMC, ASML, Netflix, LVMH and Sainsbury's",https://finance.yahoo.com/news/goldman-sachs-tsmc-asml-netflix-lvmh-and-sainsburys-stocks-to-watch-131111514.html,Yahoo Finance UK,0941.HK,Earnings preview of key companies reporting this week and what to look out for.,Earnings preview of key companies reporting this week and what to look out for.,63b4a4b0-03c0-47f5-8c77-924188fd222e
2025-04-25 05:00:19+00:00,"Stocks to watch this week: Apple, Microsoft, Shell, HSBC, Lloyds and AstraZeneca",https://finance.yahoo.com/news/apple-microsoft-shell-hsbc-lloyds-astrazeneca-stocks-to-watch-050019911.html,Yahoo Finance UK,0939.HK,Earnings preview of key companies reporting next week and what to look out for.,Earnings preview of key companies reporting next week and what to look out for.,2c89b452-698a-4d24-af1d-51ba1bbeaaa2
2025-05-20 00:07:01+00:00,China cuts key rates to aid economy as trade war simmers,https://finance.yahoo.com/news/china-construction-bank-cuts-deposit-000701438.html,Reuters,0939.HK,"BEIJING/SHANGHAI (Reuters) -China cut benchmark lending rates for the first time since October on Tuesday, while major state banks lowered deposit rates as authorities work to ease monetary policy to help buffer the economy from the impact of the Sino-U.S. trade war.  The widely expected rate cuts are aimed at stimulating consumption and loan growth as the world's No. 2 economy softens, while still protecting commercial lenders' shrinking profit margins.  Still, the size of the rate reductions was mild and reflected the incremental pace of monetary easing in recent years and what analysts interpreted as some wariness among policymakers for more aggressive steps while they navigate the trade war with the United States.","BEIJING/SHANGHAI (Reuters) -China cut benchmark lending rates for the first time since October on Tuesday, while major state banks lowered deposit rates as authorities work to ease monetary policy to help buffer the economy from the impact of the Sino-U.S. trade war.  The widely expected rate cuts are aimed at stimulating consumption and loan growth as the world's No. 2 economy softens, while still protecting commercial lenders' shrinking profit margins.  Still, the size of the rate reductions was mild and reflected the incremental pace of monetary easing in recent years and what analysts interpreted as some wariness among policymakers for more aggressive steps while they navigate the trade war with the United States.",c97939f4-e625-35e0-863b-f99188569ad8
2025-05-21 10:06:26+00:00,"China Mobile closer to taking over Hong Kong broadband company HKBN, sources say",https://finance.yahoo.com/news/china-mobile-closer-taking-over-100626425.html,Reuters,0941.HK,"HONG KONG/SINGAPORE (Reuters) -China Mobile, the world's biggest wireless carrier by users, is moving closer to a deal to take over Hong Kong broadband company HKBN after rival bidder I Squared Capital dropped out of the race, three sources said.  U.S.-based global infrastructure investor I Squared was preparing to trump China Mobile's offer of HK$5.23 per HKBN share made in December, but was not keen to pay more than HK$6 apiece, Reuters reported in January.  I Squared however did not secure approval from Chinese sovereign wealth fund China Investment Corp (CIC) to go ahead with the bid for HKBN, said the sources, who have knowledge of the matter.","HONG KONG/SINGAPORE (Reuters) -China Mobile, the world's biggest wireless carrier by users, is moving closer to a deal to take over Hong Kong broadband company HKBN after rival bidder I Squared Capital dropped out of the race, three sources said.  U.S.-based global infrastructure investor I Squared was preparing to trump China Mobile's offer of HK$5.23 per HKBN share made in December, but was not keen to pay more than HK$6 apiece, Reuters reported in January.  I Squared however did not secure approval from Chinese sovereign wealth fund China Investment Corp (CIC) to go ahead with the bid for HKBN, said the sources, who have knowledge of the matter.",6ca5dcb6-cae8-3982-9d32-a9b2ca764c27
2025-05-26 10:54:30+00:00,"HKBN's chief executive says China Mobile offer not good enough, open to more bidders",https://finance.yahoo.com/news/hkbns-chief-executive-says-china-105430150.html,Reuters,0941.HK,"HONG KONG (Reuters) -China Mobile's HK$7.8 billion ($996.1 million)  takeover offer for broadband operator HKBN is not good enough and the Hong Kong-based company is open to engage with more bidders to get the best value for shareholders, its CEO said on Monday.  State-owned China Mobile made an offer for HKBN at HK$5.23 a share in December, and Reuters reported last Friday, citing sources, that it was moving closer to a deal after its rival U.S.-based I Squared Capital dropped out of the race.  HKBN Chief Executive William Yeung, who is also a board member and executive vice chairman of the company, told Reuters China Mobile's offer, which the board has not accepted, does not reflect the company's growth over the past six months.","HONG KONG (Reuters) -China Mobile's HK$7.8 billion ($996.1 million)  takeover offer for broadband operator HKBN is not good enough and the Hong Kong-based company is open to engage with more bidders to get the best value for shareholders, its CEO said on Monday.  State-owned China Mobile made an offer for HKBN at HK$5.23 a share in December, and Reuters reported last Friday, citing sources, that it was moving closer to a deal after its rival U.S.-based I Squared Capital dropped out of the race.  HKBN Chief Executive William Yeung, who is also a board member and executive vice chairman of the company, told Reuters China Mobile's offer, which the board has not accepted, does not reflect the company's growth over the past six months.",386d5634-f003-31c1-aefa-a619d46fd017
2025-06-17 15:53:27+00:00,FCC says China Mobile could face US fines for failing to cooperate in probe,https://tech.yahoo.com/business/articles/fcc-says-china-mobile-could-155327397.html,Reuters,0941.HK,"WASHINGTON (Reuters) -The Federal Communications Commission said on Tuesday it could fine China Mobile for failing to answer questions in the agency's probe to determine if its U.S. operations are seeking to evade American restrictions.  The regulator previously barred China Mobile and other Chinese companies from providing telecommunications services in the United States, citing national security concerns.  The FCC said in March it was investigating nine Chinese companies including China Mobile, Huawei Technologies, ZTE, Hangzhou Hikvision and China Telecom to determine if they are seeking to evade U.S. restrictions.","WASHINGTON (Reuters) -The Federal Communications Commission said on Tuesday it could fine China Mobile for failing to answer questions in the agency's probe to determine if its U.S. operations are seeking to evade American restrictions.  The regulator previously barred China Mobile and other Chinese companies from providing telecommunications services in the United States, citing national security concerns.  The FCC said in March it was investigating nine Chinese companies including China Mobile, Huawei Technologies, ZTE, Hangzhou Hikvision and China Telecom to determine if they are seeking to evade U.S. restrictions.",a35932f3-ba72-3727-b8bc-48ed9a8af095
2025-06-27 04:31:49+00:00,3 Asian Dividend Stocks To Consider With Up To 7.3% Yield,https://finance.yahoo.com/news/3-asian-dividend-stocks-consider-043149335.html,Simply Wall St.,0939.HK,"As global markets navigate a landscape of mixed economic signals and geopolitical tensions, Asian markets are drawing attention with their unique set of challenges and opportunities. In this environment, dividend stocks can offer a compelling blend of income and stability, making them particularly appealing for investors looking to balance risk with potential returns.","As global markets navigate a landscape of mixed economic signals and geopolitical tensions, Asian markets are drawing attention with their unique set of challenges and opportunities. In this environment, dividend stocks can offer a compelling blend of income and stability, making them particularly appealing for investors looking to balance risk with potential returns.",201cf675-d412-3b03-8c26-18713ca580d3
2025-08-29 16:00:02+00:00,Ping An Insurance Co. of China Ltd. (PNGAY) Is Up 2.67% in One Week: What You Should Know,https://finance.yahoo.com/news/ping-insurance-co-china-ltd-160002664.html,Zacks,2318.HK,Does Ping An Insurance Co. of China Ltd. (PNGAY) have what it takes to be a top stock pick for momentum investors? Let's find out.,Does Ping An Insurance Co. of China Ltd. (PNGAY) have what it takes to be a top stock pick for momentum investors? Let's find out.,c4d87285-5ebc-39f0-b482-47d5dbfa4069
2025-09-01 12:50:02+00:00,"Ping An Insurance Co. of China (PNGAY) is on the Move, Here's Why the Trend Could be Sustainable",https://finance.yahoo.com/news/ping-insurance-co-china-pngay-125002904.html,Zacks,2318.HK,"Ping An Insurance Co. of China (PNGAY) made it through our ""Recent Price Strength"" screen and could be a great choice for investors looking to make a profit from stocks that are currently on the move.","Ping An Insurance Co. of China (PNGAY) made it through our ""Recent Price Strength"" screen and could be a great choice for investors looking to make a profit from stocks that are currently on the move.",1b7682e2-3fa5-38d4-8ada-c334f70cb1e2
